Species,Time,Latitude,Longitude,Altitude_m,Symbol,Section
Sugar Maple,10/23/2013 12:54:05,42.352672,-71.273263,74.7,Park,LSB SM31
Sugar Maple,10/25/2013 13:48:38,42.352556,-71.273315,46.9,Park,LSB SM31
Sugar Maple,11/11/2013 15:22:35,42.355775,-71.272595,5,Park,LSB SM31
Sugar Maple,10/29/2013 12:28:49,42.35249,-71.273569,49.4,Park,LSB SM31
Sugar Maple,10/22/2013 12:21:52,42.352334,-71.273027,88.8,Park,LSB SM31
Sugar Maple,11/8/2013 14:46:02,42.356016,-71.272603,72.5,Park,LSB SM31
Sugar Maple,11/8/2013 15:03:27,42.355943,-71.272681,52.8,Park,LSB SM310
Sugar Maple,11/8/2013 15:05:04,42.355943,-71.272674,50.8,Park,LSB SM311
Sugar Maple,11/8/2013 15:07:37,42.35587,-71.272617,50.3,Park,LSB SM312
Sugar Maple,11/8/2013 15:09:31,42.355848,-71.272623,52,Park,LSB SM313
Sugar Maple,11/8/2013 15:11:24,42.355872,-71.272609,49.8,Park,LSB SM314
Sugar Maple,11/8/2013 15:12:55,42.355873,-71.272603,50.7,Park,LSB SM315
Sugar Maple,11/8/2013 15:14:01,42.355857,-71.272598,51.6,Park,LSB SM316
Sugar Maple,11/8/2013 15:15:22,42.355839,-71.2726,51.9,Park,LSB SM317
Sugar Maple,11/8/2013 15:16:31,42.355827,-71.2726,52.5,Park,LSB SM318
Sugar Maple,11/8/2013 15:17:31,42.355826,-71.272604,52,Park,LSB SM319
Sugar Maple,10/23/2013 12:58:30,42.352494,-71.27337,55.9,Park,LSB SM32
Sugar Maple,10/25/2013 14:06:14,42.352481,-71.273399,51,Park,LSB SM32
Sugar Maple,11/11/2013 15:26:28,42.355667,-71.272452,48.5,Park,LSB SM32
Sugar Maple,10/29/2013 12:42:54,42.352556,-71.273368,60.9,Park,LSB SM32
Sugar Maple,10/22/2013 12:33:50,42.352317,-71.273208,64.3,Park,LSB SM32
Sugar Maple,11/8/2013 14:48:44,42.355977,-71.272839,52.4,Park,LSB SM32
Sugar Maple,11/8/2013 15:19:12,42.355821,-71.272625,51,Park,LSB SM320
Sugar Maple,10/23/2013 13:00:18,42.352498,-71.273376,60.1,Park,LSB SM33
Sugar Maple,11/11/2013 15:28:57,42.35567,-71.272502,47.3,Park,LSB SM33
Sugar Maple,10/29/2013 12:57:20,42.352478,-71.273512,64.2,Park,LSB SM33
Sugar Maple,10/22/2013 12:36:43,42.352314,-71.273231,65.1,Park,LSB SM33
Sugar Maple,11/8/2013 14:50:09,42.355958,-71.27275,55.3,Park,LSB SM33
Sugar Maple,10/23/2013 13:09:16,42.35255,-71.273383,62.5,Park,LSB SM34
Sugar Maple,11/11/2013 15:31:12,42.355727,-71.27251,47.6,Park,LSB SM34
Sugar Maple,10/22/2013 12:40:40,42.352299,-71.273283,67.6,Park,LSB SM34
Sugar Maple,11/8/2013 14:52:45,42.355944,-71.272723,54.7,Park,LSB SM34
Sugar Maple,10/23/2013 13:10:48,42.352491,-71.273346,59.4,Park,LSB SM35
Sugar Maple,11/11/2013 15:33:13,42.355705,-71.27259,48.6,Park,LSB SM35
Sugar Maple,10/22/2013 12:41:14,42.352287,-71.273289,66.2,Park,LSB SM35
Sugar Maple,11/8/2013 14:53:45,42.355929,-71.272713,53,Park,LSB SM35
Sugar Maple,10/23/2013 13:13:21,42.352498,-71.273364,58.5,Park,LSB SM36
Sugar Maple,11/11/2013 15:34:23,42.355694,-71.272618,49,Park,LSB SM36
Sugar Maple,10/22/2013 12:42:57,42.35229,-71.273277,66.4,Park,LSB SM36
Sugar Maple,11/8/2013 14:55:56,42.355875,-71.272715,54.5,Park,LSB SM36
Sugar Maple,10/23/2013 13:15:57,42.352486,-71.273374,62.7,Park,LSB SM37
Sugar Maple,10/22/2013 12:44:55,42.35231,-71.273285,68.9,Park,LSB SM37
Sugar Maple,11/8/2013 14:57:48,42.355883,-71.272703,53.1,Park,LSB SM37
Sugar Maple,10/23/2013 13:19:21,42.352507,-71.273354,63.6,Park,LSB SM38
Sugar Maple,10/22/2013 12:47:44,42.352308,-71.273327,67.6,Park,LSB SM38
Sugar Maple,11/8/2013 14:59:12,42.355895,-71.272693,53.1,Park,LSB SM38
Sugar Maple,10/22/2013 12:48:51,42.35236,-71.273386,66,Park,LSB SM39
Sugar Maple,11/8/2013 15:01:00,42.355905,-71.27269,51.8,Park,LSB SM39
Sugar Maple,10/23/2013 12:54:32,42.352484,-71.273221,43.5,Park,LSB SM51
Sugar Maple,10/25/2013 13:51:40,42.352468,-71.273356,38.7,Park,LSB SM51
Sugar Maple,11/6/2013 13:36:08,42.354535,-71.272073,42.6,Park,LSB SM51
Sugar Maple,11/5/2013 13:54:50,42.352245,-71.27378,70.8,Park,LSB SM51
Sugar Maple,11/11/2013 15:25:24,42.355944,-71.272741,44.4,Park,LSB SM51
Sugar Maple,11/8/2013 14:50:37,42.355991,-71.272759,54.9,Park,LSB SM51
Sugar Maple,10/30/2013 12:33:58,42.352482,-71.273551,56.2,Park,LSB SM51
Sugar Maple,10/21/2013 12:38:10,42.352504,-71.272833,17.8,Park,LSB SM51
Sugar Maple,11/8/2013 15:16:33,42.355835,-71.272608,49.5,Park,LSB SM510
Sugar Maple,11/8/2013 15:18:08,42.355829,-71.272599,49.1,Park,LSB SM511
Sugar Maple,10/23/2013 12:58:41,42.352455,-71.273286,54.6,Park,LSB SM52
Sugar Maple,10/25/2013 14:09:42,42.352551,-71.273376,44.5,Park,LSB SM52
Sugar Maple,11/11/2013 15:26:52,42.355887,-71.272631,41.4,Park,LSB SM52
Sugar Maple,11/8/2013 14:52:54,42.355993,-71.27276,54.9,Park,LSB SM52
Sugar Maple,10/30/2013 12:36:38,42.352485,-71.273498,62.7,Park,LSB SM52
Sugar Maple,10/21/2013 12:42:55,42.352417,-71.272903,55,Park,LSB SM52
Sugar Maple,10/23/2013 13:04:13,42.352465,-71.27331,54,Park,LSB SM53
Sugar Maple,11/11/2013 15:29:28,42.355799,-71.272554,44,Park,LSB SM53
Sugar Maple,11/8/2013 14:56:07,42.355995,-71.272813,53.3,Park,LSB SM53
Sugar Maple,10/21/2013 12:47:18,42.352655,-71.27263,56.5,Park,LSB SM53
Sugar Maple,10/23/2013 13:07:02,42.352447,-71.273351,60.4,Park,LSB SM54
Sugar Maple,11/11/2013 15:31:14,42.35581,-71.272541,47,Park,LSB SM54
Sugar Maple,11/8/2013 14:59:35,42.3559,-71.272743,53.5,Park,LSB SM54
Sugar Maple,10/23/2013 13:09:52,42.352466,-71.273354,62.1,Park,LSB SM55
Sugar Maple,11/11/2013 15:33:07,42.35577,-71.272548,46.9,Park,LSB SM55
Sugar Maple,11/8/2013 15:01:57,42.355896,-71.272774,53.3,Park,LSB SM55
Sugar Maple,10/23/2013 13:12:38,42.352478,-71.273366,63.7,Park,LSB SM56
Sugar Maple,11/8/2013 15:05:06,42.355983,-71.272788,55.4,Park,LSB SM56
Sugar Maple,11/8/2013 15:07:46,42.355887,-71.272763,53.6,Park,LSB SM57
Sugar Maple,11/8/2013 15:10:23,42.355918,-71.272744,53,Park,LSB SM58
Sugar Maple,11/8/2013 15:14:41,42.355854,-71.272629,50.1,Park,LSB SM59
Sugar Maple,10/28/2013 12:41:14,42.352525,-71.273407,55.6,"Flag, Blue",LSB SM71
Sugar Maple,10/28/2013 12:50:09,42.352515,-71.273447,61,"Flag, Blue",LSB SM72
Sugar Maple,10/29/2013 12:49:53,42.352521,-71.273457,59.3,Park,LSB SM81
Sugar Maple,11/4/2013 13:34:24,42.352307,-71.273723,43.4,Park,LSM SM31
Sugar Maple,10/25/2013 15:20:08,42.354359,-71.271424,39.6,Golf Course,LSC SM 4 10
Sugar Maple,10/25/2013 15:22:36,42.354326,-71.271465,37.4,Golf Course,LSC SM 4 11
Sugar Maple,10/25/2013 15:23:47,42.354348,-71.271564,38.8,Golf Course,LSC SM 4 12
Sugar Maple,10/25/2013 15:25:31,42.354341,-71.271541,39.4,Golf Course,LSC SM 4 13
Sugar Maple,10/25/2013 15:26:46,42.354353,-71.271571,41.3,Golf Course,LSC SM 4 14
Sugar Maple,10/25/2013 15:27:59,42.354368,-71.271603,42.1,Golf Course,LSC SM 4 15
Sugar Maple,10/25/2013 15:29:13,42.354371,-71.27161,41.5,Golf Course,LSC SM 4 16
Sugar Maple,10/25/2013 15:30:29,42.354383,-71.271639,40.5,Golf Course,LSC SM 4 17
Sugar Maple,10/25/2013 15:31:50,42.354391,-71.271666,42.1,Golf Course,LSC SM 4 18
Sugar Maple,10/25/2013 15:33:52,42.354395,-71.27167,44.1,Golf Course,LSC SM 4 19
Sugar Maple,10/25/2013 15:07:37,42.354475,-71.271668,37.7,Golf Course,LSC SM 4 2
Sugar Maple,10/25/2013 15:09:11,42.35445,-71.271625,37.1,Golf Course,LSC SM 4 3
Sugar Maple,10/25/2013 15:10:16,42.354445,-71.271593,37.2,Golf Course,LSC SM 4 4
Sugar Maple,10/28/2013 13:29:41,42.354243,-71.271571,41.2,Golf Course,LSC SM 4 4
Sugar Maple,10/28/2013 13:29:41,42.354243,-71.271571,41.2,Golf Course,LSC SM 4 4
Sugar Maple,10/25/2013 15:11:46,42.354425,-71.271546,36.5,Golf Course,LSC SM 4 5
Sugar Maple,10/28/2013 13:31:41,42.354243,-71.271598,43.6,Golf Course,LSC SM 4 5
Sugar Maple,10/28/2013 13:31:41,42.354243,-71.271598,43.6,Golf Course,LSC SM 4 5
Sugar Maple,10/25/2013 15:13:07,42.354378,-71.271485,36.3,Golf Course,LSC SM 4 6
Sugar Maple,10/28/2013 13:33:29,42.354238,-71.27157,42.1,Golf Course,LSC SM 4 6
Sugar Maple,10/28/2013 13:33:29,42.354238,-71.27157,42.1,Golf Course,LSC SM 4 6
Sugar Maple,10/25/2013 15:14:36,42.354349,-71.271468,37.1,Golf Course,LSC SM 4 7
Sugar Maple,10/28/2013 13:37:15,42.354266,-71.271542,40.2,Golf Course,LSC SM 4 7
Sugar Maple,10/28/2013 13:37:15,42.354266,-71.271542,40.2,Golf Course,LSC SM 4 7
Sugar Maple,10/25/2013 15:17:02,42.354356,-71.271458,39.4,Golf Course,LSC SM 4 8
Sugar Maple,10/25/2013 15:18:20,42.354356,-71.271446,39.3,Golf Course,LSC SM 4 9
Sugar Maple,10/25/2013 15:06:10,42.354444,-71.271663,38,Golf Course,LSC SM 41
Sugar Maple,10/31/2013 13:13:46,42.354283,-71.271831,48,Golf Course,LSC SM4 1
Sugar Maple,11/4/2013 14:13:34,42.354776,-71.271801,17.5,Golf Course,LSC SM4 1
Sugar Maple,11/7/2013 13:19:44,42.354896,-71.27167,-12.1,Golf Course,LSC SM4 1
Sugar Maple,11/8/2013 16:06:31,42.3544,-71.271571,33.7,Golf Course,LSC SM4 1
Sugar Maple,10/18/2013 15:20:47,42.354599,-71.271891,50.4,Civil,LSC SM4 1
Sugar Maple,11/7/2013 13:19:44,42.354896,-71.27167,31,Golf Course,LSC SM4 1
Sugar Maple,10/28/2013 13:18:18,42.354439,-71.271909,34.1,Golf Course,LSC SM4 1
Sugar Maple,11/5/2013 14:54:37,42.354354,-71.271634,65.2,Golf Course,LSC SM4 1
Sugar Maple,11/4/2013 14:13:34,42.354776,-71.271801,17.5,,LSC SM4 1
Sugar Maple,10/28/2013 13:18:18,42.354439,-71.271909,34.1,Golf Course,LSC SM4 1
Sugar Maple,11/11/2013,42.3544,-71.271433,43,,LSC SM4 1
Sugar Maple,10/22/2013 13:42:53,42.354518,-71.271659,38.1,Civil,LSC SM4 1
Sugar Maple,10/24/2013 12:21:06,42.353922,-71.2724,,Civil,LSC SM4 1
Sugar Maple,10/29/2013 13:22:55,42.354311,-71.271607,41.8,Golf Course,LSC SM4 1
Sugar Maple,10/31/2013 13:26:58,42.354294,-71.271788,46.4,Golf Course,LSC SM4 10
Sugar Maple,11/7/2013 13:46:42,42.354194,-71.271433,44.9,Golf Course,LSC SM4 10
Sugar Maple,11/8/2013 16:16:03,42.354473,-71.271689,42.7,Golf Course,LSC SM4 10
Sugar Maple,11/7/2013 13:46:42,42.354194,-71.271433,44.9,Golf Course,LSC SM4 10
Sugar Maple,10/24/2013 12:40:48,42.354434,-71.27163,44.8,Civil,LSC SM4 10
Sugar Maple,10/29/2013 13:40:47,42.354323,-71.27172,41.6,Golf Course,LSC SM4 10
Sugar Maple,10/31/2013 13:27:49,42.354304,-71.271801,45.4,Golf Course,LSC SM4 11
Sugar Maple,11/7/2013 13:49:31,42.354192,-71.271397,46.5,Golf Course,LSC SM4 11
Sugar Maple,11/8/2013 16:17:12,42.354455,-71.271704,40.9,Golf Course,LSC SM4 11
Sugar Maple,11/7/2013 13:49:31,42.354192,-71.271397,46.5,Golf Course,LSC SM4 11
Sugar Maple,10/24/2013 12:42:46,42.354441,-71.27166,47,Civil,LSC SM4 11
Sugar Maple,10/31/2013 13:29:25,42.354289,-71.271813,45.6,Golf Course,LSC SM4 12
Sugar Maple,11/8/2013 16:19:01,42.354446,-71.271696,39.6,Golf Course,LSC SM4 12
Sugar Maple,10/24/2013 12:44:16,42.354412,-71.271661,45.5,Civil,LSC SM4 12
Sugar Maple,10/29/2013 13:48:33,42.354267,-71.271631,40.5,Golf Course,LSC SM4 12
